1952,Gold Cup,1,Dr Hans Leist
1952,Gold Cup,1,Dr Sidney Lee
1952,Gold Cup,1,Standish Booker

1952,Gold Cup,2,Louis Tarlo
1952,Gold Cup,2,Harold Franklin
1952,Gold Cup,2,Albert Rose
1952,Gold Cup,2,Dr Melvyn Rockfelt


1953,Gold Cup,1,Terence Reese
1953,Gold Cup,1,Boris Schapiro
1953,Gold Cup,1,Adam Meredith
1953,Gold Cup,1,Dr Hans Leist
1953,Gold Cup,1,Dr Sidney Lee
1953,Gold Cup,1,Standish Booker

1953,Gold Cup,2,Joel Tarlo
1953,Gold Cup,2,Norman Squire
1953,Gold Cup,2,Kenneth Konstam
1953,Gold Cup,2,Leslie Dodds


1954,Gold Cup,1,Louis Tarlo
1954,Gold Cup,1,Harold Franklin
1954,Gold Cup,1,Nico Gardener
1954,Gold Cup,1,Albert Rose
1954,Gold Cup,1,Norman Squire

1954,Gold Cup,2,Ewart Kempson
1954,Gold Cup,2,Mrs Phyllis Williams
1954,Gold Cup,2,Jordanis Pavlides
1954,Gold Cup,2,Graham Mathieson
1954,Gold Cup,2,Pat Cotter
1954,Gold Cup,1,J Pearlstone


1955,Gold Cup,1,Richard Preston
1955,Gold Cup,1,Ralph Swimer
1955,Gold Cup,1,Jack Nunes
1955,Gold Cup,1,Phil Topley

1955,Gold Cup,2,Joel Tarlo
1955,Gold Cup,2,Dr Melvyn Rockfelt
1955,Gold Cup,2,Jim Sharples
1955,Gold Cup,2,Bob Sharples
1955,Gold Cup,2,Alan Truscott
1955,Gold Cup,2,Julian Beale


1956,Gold Cup,1,Terence Reese
1956,Gold Cup,1,Boris Schapiro
1956,Gold Cup,1,Adam Meredith
1956,Gold Cup,1,Leslie Dodds
1956,Gold Cup,1,Kenneth Konstam
1956,Gold Cup,1,Pedro Juan

1956,Gold Cup,2,Louis Tarlo
1956,Gold Cup,2,Harold Franklin
1956,Gold Cup,2,Joel Tarlo
1956,Gold Cup,2,Dr Melvyn Rockfelt
1956,Gold Cup,2,Jim Sharples
195X,Gold Cup,1,Bob Sharples


1957,Gold Cup,1,Dr Sidney Lee
1957,Gold Cup,1,Mrs Fritzi Gordon
1957,Gold Cup,1,Standish Booker
1957,Gold Cup,1,Claude Rodrigue
1957,Gold Cup,1,Louis Tarlo

1957,Gold Cup,2,Dorothy Shanahan
1957,Gold Cup,2,Maurice Harrison-Gray
1957,Gold Cup,2,Jim Sharples
1957,Gold Cup,2,Bob Sharples


1958,Gold Cup,1,Nico Gardener
1958,Gold Cup,1,Albert Rose
1958,Gold Cup,1,Jack Nunes
1958,Gold Cup,1,Norman Squire
1958,Gold Cup,1,Albert Dormer
1958,Gold Cup,1,Derek Rimington

1958,Gold Cup,2,Joe Lazarus
1958,Gold Cup,2,Ben Franks
1958,Gold Cup,2,Sonny Blaser
1958,Gold Cup,2,Sonny Morris


1959,Gold Cup,1,Joe Lazarus
1959,Gold Cup,1,Sonny Blaser
1959,Gold Cup,1,Frank Farrington
1959,Gold Cup,1,Ben Franks
1959,Gold Cup,1,Sonny Morris

1959,Gold Cup,2,Terence Reese
1959,Gold Cup,2,Boris Shapiro
1959,Gold Cup,2,Jeremy Flint
1959,Gold Cup,2,Claude Rodrigue
1959,Gold Cup,2,John Collings
1959,Gold Cup,1,Pedro Juan


1960,Gold Cup,1,Louis Tarlo
1960,Gold Cup,1,Leslie Dodds
1960,Gold Cup,1,Harold Franklin
1960,Gold Cup,1,Kenneth Konstam
1960,Gold Cup,1,Boris Schapiro
1960,Gold Cup,1,Terence Reese

1960,Gold Cup,2,Maurice Harrison-Gray
1960,Gold Cup,2,Jeremy Flint
1960,Gold Cup,2,Jim Sharples
1960,Gold Cup,2,Bob Sharples
1960,Gold Cup,2,Richard Preston
1960,Gold Cup,2,Ralph Swimer


1961,Gold Cup,1,Rixi Markus
1961,Gold Cup,1,Fritzi Gordon
1961,Gold Cup,1,Leslie Dodds
1961,Gold Cup,1,Harold Lever MP
1961,Gold Cup,1,Joel Tarlo
1961,Gold Cup,1,Michael Wolach

1961,Gold Cup,2,Louis Tarlo
1961,Gold Cup,2,Harold Franklin
1961,Gold Cup,2,Claude Rodrigue
1961,Gold Cup,2,Kenneth Konstam
1961,Gold Cup,2,Terence Reese
1961,Gold Cup,2,Boris Shapiro


1962,Gold Cup,1,Maurice Harrison-Gray
1962,Gold Cup,1,Jim Sharples
1962,Gold Cup,1,Bob Sharples
1962,Gold Cup,1,Dr Melvyn Rockfelt
1962,Gold Cup,1,Freddie North
