# List players that are not US here. Use ISO 3166-1 alpha code for country. If you add any countries, need to edit the code
Pat C Cotter,ENG
Pat Cotter,ENG
Pat Davies,ENG
Patrick Collins,ENG
Patrick Jourdain,ENG
Paul Bowyer,ENG
Paul Hackett,ENG
Pedro Juan,ENG
Percy Tabbush,ENG
Peter Crouch,ENG
Peter Czerniewski,ENG
Peter Jackson,ENG
Peter Lee,ENG
Peter Lester,ENG
Peter Swinnerton-Dyer,ENG
Phil King,ENG
Phil Topley,ENG
R Washington-Gray,ENG
Ralph Churney,ENG
Ralph Evans,ENG
Ralph Swimer,ENG
Raymond Brock,ENG
Raymond S Brock,ENG
Raymond Semp,ENG
Rhona Goldenfield,ENG
Richard Butland,ENG
Richard Fleet,ENG
Richard Lederer,ENG
Richard Plackett,ENG
Richard Preston,ENG
Richard Sampson,ENG
Rick Bentley,ENG
Rita Oldroyd,ENG
Rixi Markus,ENG
Rob Cliffe,ENG
Rob Sharpe,ENG
Rob Sheehan,ENG
Robert Sheehan,ENG
Rod Oakford,ENG
Roger Bryant,ENG
Roger Gibbons,ENG
Ron Morrish,ENG
Roy Bennett,ENG
Roy Dempster,ENG
S Ball,ENG
S J Simon,ENG
Sally Brock,ENG
Sally Horton,ENG
Sally Sowter,ENG
Sam Leckie,ENG
Sammy Stein,ENG
Samuel Kosky,ENG
Sandra Landy,ENG
Sandra Penfold,ENG
Sean O'Neill,ENG
Sidney Lee,ENG
Simon Cope,ENG
Simon Gillis,ENG
Sonny Blaser,ENG
Sonny Morris,ENG
Standish Booker,ENG
Stanley Hughes,ENG
Stefan Skorchev,ENG
Steve Eginton,ENG
Steve Fishpool,ENG
Steve Lodge,ENG
Steve Whittleton,ENG
Stuart Tredinnick,ENG
Su Burn,ENG
T E Morel,ENG
Taf Anthias,ENG
Ted Reveley,ENG
Terence Reese,ENG
Terry Goldsmith,ENG
Thomas Simmons,ENG
Thor-Erik Hoftaniska,ENG
Tim Cope,ENG
Tim Rees,ENG
Tom Culbertson,ENG
Tony Forrester,ENG
Tony McNiff,ENG
Tony Priday,ENG
Tony Sowter,ENG
Tony Waterlow,ENG
Unal Durmus,ENG
Victor Goldberg,ENG
Victor Mollo,ENG
Victor Silverstone,ENG
W C Robinson,ENG
W P Nicholls,ENG
William Cole,ENG
Willie Coyle,ENG
Willie Crook,ENG
Willie Rose,ENG
