1996,Hal Sims
1997,David Bruce
1998,Alvin Landy
1999,Michael Gottlieb
2000,Meyer Schleifer
2001,Sami R. Kehela
2001,Eric Murray
2002,Carol Sanders
2002,Tommy Sanders
2003,Tobias Stone
2004,Harvey Harkavy
2004,Merwyn D. Maier
2005,Percy Sheardown
2006,Garton S. Churchill
2007,none
2008,none
2009,Agnes Gordon
2010,Paul Hodge
2011,Russ Arnold
2012,
2013,
2014,
