# OPEN WORLD INTERNATIONAL MASTERS
# Rank Name Country MPs PPs
Agustin Santamarina,Argentina 309 1
Xiaojing Wang,China 309 0
Max Khven,Russia 301 3.5
David Lindop,Canada 294 0
Mohamed Hishmat,Egypt 288 0.5
Michael Roche,Canada 286 0
Richard Schwartz,U.S.A. 284 0
Santje Panelewen,Indonesia 283 3.5
Mark Feldman,U.S.A. 281 2
Bengt-Erik Efraimsson,Sweden 277 0
Marius,IONITA Romania 275 1
Xin,LI China 272 2
Konrad,ARASZKIEWICZ Poland 269 0
Ari David Greenberg,JR U.S.A. 269 0
Tarek Nadim,Egypt 264 0.5
Zvi Engel,Belgium 262 0
Michal Kopecky,Czech Republic 261 0
Wlodzimierz Starkowski,Poland 260 0
Matthias Gisli Thorvaldsson,Iceland 258 2
Gheorghe Serpoi,Romania 258 0
Calin Stirbu,Romania 258 0
Martin Reid,New Zealand 256 0.5
Jean-Jacques Palau,France 254 1
Suleyman Kolata,Turkey 253 0
Philippe Cronier,France 247 4
Adel El Kourdy,Egypt 247 3
Doron Yadlin,Israel 243 3.5
Israel Yadlin,Israel 243 3.5
Maarten Schollaardt,Netherlands 241 4
Johan Sylvan,Sweden 235 1.5
Dariusz Kowalski,Poland 231 0
Chris Compton,U.S.A. 230 2
Ivan Nanev,Bulgaria 230 0.5
Mark Lair,U.S.A. 227 3.5
Wojtek Olanski,Lithuania 224 0
Bobby Richman,Australia 223 3
Ernesto Muzzio,Argentina 222 0.5
Gunnar Hallberg,England 218 2
Chuck Burger,U.S.A. 218 1
Vladimir Rekunov,Russia 214 3
Mario D'Avossa,Italy 213 2
Victoria Gromova,Russia 211 1
Tatiana Ponomareva,Russia 211 1
Lionel Sebbane,France 209 0
Bill Pollack,U.S.A. 207 3.5
Marcelo Amaral,Brazil 205 4.5
Win Allegaert,U.S.A. 204 0
Allan Graves,U.S.A. 201 1
Qinghong Zhou,China 201 0.5
Salvador Assael,Turkey 200 0
Laurent Thuillez,France 198 0
Eric Eisenberg,France 197 1.5
Nafiz Zorlu,Turkey 196 0
Kamal Krishna Mukherjee,India 192 2.5
Jon-Egil Furunes,Norway 192 2
Thierry De Sainte Marie,France 188 0
Soren Christiansen,Denmark 184 3
Martin Schifko,Austria 183 0.5
Boris Baran,Canada 182 4
Gyorgy Szalay,Hungary 180 1
Rashid Jafer,Pakistan 179 1.5
Gabor Winkler,Hungary 179 1
Abdul Rehman Allana,Pakistan 176 1.5
Bernard Donde,South Africa 176 1
Warren Spector,U.S.A. 173 1
Ryszard Jedrychowski,Australia 171 0.5
Ching-Hsiang Wu Chinese,Taipei 167 3
Drew Casen,U.S.A. 162 3.5
Jorgen Lindqvist,Sweden 162 3
Joseph Silver,Canada 162 3
Sascha Wernle,Austria 162 1.5
Mike Moss,U.S.A. 161 3
Christian Terraneo,Austria 161 1
Bartosz Chmurski,Poland 161 0
Laszlo Szilagyi,Hungary 160 1
Shalom Zeligman,Israel 158 2.5
Jacek Lesniczak,Poland 157 0.5
Jon Sveindal,Norway 156 3
Matthew Thomson,Australia 155 1
Doug Simson,U.S.A. 155 0
Dan Morse,U.S.A. 154 4.75
David Birman,Israel 154 2.5
Dario Attanasio,Italy 153 1
Vasil Batov,Bulgaria 153 1
Martin Sila Monsegur,Argentina 150 1.5
Giuseppe Failla,Italy 150 1
Giovanni Watulingas,Indonesia 149 3
Malcolm Mayer,New Zealand 148 0
Tom Jacob,New Zealand 145 0.5
Sverrir Armannsson,Iceland 142 1
Alain Labaere,Belgium 142 0
Guillermo Mooney,Argentina 138 1.5
Miklos Dumbovich,Hungary 135 1
Mariusz Puczynski,Poland 133 0
Brian Callaghan,England 132 2
Michel Eidi,Greece 132 1
David Burn,England 125 2
Arild Rasmussen,Norway 122 3
Piotr Bizon,Poland 121 0
Henri Kass,France 121 0
Dennis Koch-Palmund,Denmark 119 4.5
Karic Chiu,China Hong Kong 119 0.5
Rong Chang Chen,China 119 0
Hani Dagher,Egypt 117 1.5
Andreas Gloyer,Austria 116 0.5
Colin Simpson,England 114 2
Laszlo Honti,Hungary 112 1
Robert Fruewirth,Australia 110 0.5
