2009,Mixed BAM Teams,1,Gavin Wolpert,,,
2009,Mixed BAM Teams,1,Jenny Wolpert,,,
2009,Mixed BAM Teams,1,Joel Wooldridge,,,
2009,Mixed BAM Teams,1,Robert Hampton,,,
2009,Mixed BAM Teams,1,Sabine Auken,,,
2009,Mixed BAM Teams,1,Sylvie Willard,,,
2009,Mixed BAM Teams,2,Jim Foster,,,
2009,Mixed BAM Teams,2,Linda Smith,,,
2009,Mixed BAM Teams,2,Ron L. Smith,,,
2009,Mixed BAM Teams,2,Stella Rainey,,,
2009,Mixed BAM Teams,2,0,,,
2009,Mixed BAM Teams,2,0,,,
2008,Mixed BAM Teams,1,Chris Willenken,,,
2008,Mixed BAM Teams,1,JoAnna Stansby,,,
2008,Mixed BAM Teams,1,Lew Stansby,,,
2008,Mixed BAM Teams,1,Migry Zur-Campanile,,,
2008,Mixed BAM Teams,1,0,,,
2008,Mixed BAM Teams,1,0,,,
2008,Mixed BAM Teams,2,Barbara Kasle,,,
2008,Mixed BAM Teams,2,Garey Hayden,,,
2008,Mixed BAM Teams,2,Gaylor Kasle,,,
2008,Mixed BAM Teams,2,Jo Morse,,,
2008,Mixed BAM Teams,2,0,,,
2008,Mixed BAM Teams,2,0,,,
2007,Mixed BAM Teams,1,Don Stack,,,
2007,Mixed BAM Teams,1,Jack Spear,,,
2007,Mixed BAM Teams,1,Linda Eakes,,,
2007,Mixed BAM Teams,1,Nancy Spear,,,
2007,Mixed BAM Teams,1,0,,,
2007,Mixed BAM Teams,1,0,,,
2007,Mixed BAM Teams,2,John Stiefel,,,
2007,Mixed BAM Teams,2,Leslie Paryzer,,,
2007,Mixed BAM Teams,2,Sheila Gabay,,,
2007,Mixed BAM Teams,2,Stephen Goldstein,,,
2007,Mixed BAM Teams,2,0,,,
2007,Mixed BAM Teams,2,0,,,
2006,Mixed BAM Teams,1,Beth Palmer,,,
2006,Mixed BAM Teams,1,Bill Pettis,,,
2006,Mixed BAM Teams,1,Bill Pollack,,,
2006,Mixed BAM Teams,1,Lynn Deas,,,
2006,Mixed BAM Teams,1,Rozanne Pollack,,,
2006,Mixed BAM Teams,1,0,,,
2006,Mixed BAM Teams,2,Daniela von Arnim,,,
2006,Mixed BAM Teams,2,Drew Casen,,,
2006,Mixed BAM Teams,2,Margie Gwozdzinsky,,,
2006,Mixed BAM Teams,2,Richard Schwartz,,,
2006,Mixed BAM Teams,2,Teri Casen,,,
2006,Mixed BAM Teams,2,Walid Elahmady,,,
2005,Mixed BAM Teams,1,Hemant Lall,,,
2005,Mixed BAM Teams,1,Martin Fleisher,,,
2005,Mixed BAM Teams,1,Peggy Kaplan,,,
2005,Mixed BAM Teams,1,Petra Hamman,,,
2005,Mixed BAM Teams,1,Rozanne Pollack,,,
2005,Mixed BAM Teams,1,Steve Beatty,,,
2005,Mixed BAM Teams,2,Barbara Sonsini,,,
2005,Mixed BAM Teams,2,John Sutherlin,,,
2005,Mixed BAM Teams,2,Mark Lair,,,
2005,Mixed BAM Teams,2,Rhoda Walsh,,,
2005,Mixed BAM Teams,2,Tobi Sokolow,,,
2005,Mixed BAM Teams,2,0,,,
2004,Mixed BAM Teams,1,Beth Palmer,,,
2004,Mixed BAM Teams,1,Bill Pettis,,,
2004,Mixed BAM Teams,1,Bill Pollack,,,
2004,Mixed BAM Teams,1,Lynn Deas,,,
2004,Mixed BAM Teams,1,Rozanne Pollack,,,
2004,Mixed BAM Teams,1,Steve Robinson,,,
2004,Mixed BAM Teams,2,Chip Martel,,,
2004,Mixed BAM Teams,2,Jan Martel,,,
2004,Mixed BAM Teams,2,JoAnna Stansby,,,
2004,Mixed BAM Teams,2,Lew Stansby,,,
2004,Mixed BAM Teams,2,Peter Weichsel,,,
2004,Mixed BAM Teams,2,Rose Meltzer,,,
2003,Mixed BAM Teams,1,Donna Compton,,,
2003,Mixed BAM Teams,1,Fulvio Fantoni,,,
2003,Mixed BAM Teams,1,Hemant Lall,,,
2003,Mixed BAM Teams,1,Petra Hamman,,,
2003,Mixed BAM Teams,1,0,,,
2003,Mixed BAM Teams,1,0,,,
